"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Dec 17 08:30:51 UTC 2020","Thu Dec 17 08:30:51 UTC 2020","0","tests","test_main_page","","","","Пользователь может осуществить поиск (failed)",""
"broken","Thu Dec 17 08:30:51 UTC 2020","Thu Dec 17 08:30:51 UTC 2020","0","tests","test_main_page","","","","Пользователь может осуществить поиск",""
