"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Dec 22 14:30:13 UTC 2020","Tue Dec 22 14:30:16 UTC 2020","3076","tests","test_main_page","","","","Пользователь может осуществить поиск (failed)",""
"passed","Tue Dec 22 14:30:13 UTC 2020","Tue Dec 22 14:30:15 UTC 2020","2419","tests","test_main_page","","","","Пользователь может осуществить поиск",""
