"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Dec 23 10:36:52 UTC 2020","Wed Dec 23 10:36:52 UTC 2020","0","tests","test_main_page","","","","Пользователь может осуществить поиск",""
"broken","Wed Dec 23 10:36:52 UTC 2020","Wed Dec 23 10:36:52 UTC 2020","0","tests","test_main_page","","","","Пользователь может осуществить поиск (failed)",""
